Institution,2017 Enrollment,2018 Enrollment,2018 Black enrollment,2018 Bachelors,2018 Masters,2018 Doctors
Clark Atlanta University ,3992,3911,3673,411,233,30
Interdenominational Theological Center ,295,293,288,0,38,28
Morehouse College ,2202,2206,2106,398,0,0
Morehouse School of Medicine ,520,542,415,0,46,83
Spelman College ,2137,2171,2107,446,0,0
