Institution,State,Type,2017 Enrollment,2018 Enrollment,2018 Black enrollment,2018 Full-time-equivalent Enrollment,2018 Associates,2018 Bachelors,2018 Masters,2018 Doctors,Expenditures ($K)
Clark Atlanta University ,GA,3,3992,3911,3673,3732,0,411,233,30,98282
Interdenominational Theological Center ,GA,3,295,293,288,182,0,0,38,28,7546
Morehouse College ,GA,3,2202,2206,2106,2170,0,398,0,0,87802
Morehouse School of Medicine ,GA,3,520,542,415,528,0,0,46,83,165187
Spelman College ,GA,3,2137,2171,2107,2142,0,446,0,0,99659
